variant_support
100
100
100
100
100
100
100
99
0
0
0
0
100
0
100
100
100
100
100
2
100
99
99
100
1
1
100
100
100
100
100
100
100
3
1
100
1
99
100
100
100
99
0
100
100
100
100
0
100
99
99
98
100
100
100
100
99
100
1
100
99
100
0
100
0
100
100
99
100
100
100
100
100
1
100
1
100
100
100
100
100
100
100
0
1
100
99
100
100
100
100
1
100
100
0
1
100
100
99
100
